,0,0,0,0,0,0
year,2015,2016,2017,2018,2019,2020
mo,,,,,,
01,625.0,577.0,580.0,520.0,633.0,595.0
02,696.0,584.0,555.0,449.0,530.0,589.0
03,193.0,648.0,560.0,508.0,626.0,466.0
04,507.0,670.0,470.0,508.0,614.0,240.0
05,578.0,661.0,649.0,506.0,645.0,326.0
06,593.0,611.0,625.0,662.0,641.0,438.0
07,616.0,613.0,583.0,715.0,601.0,452.0
08,544.0,587.0,540.0,659.0,635.0,208.0
09,720.0,644.0,544.0,586.0,646.0,73.0
10,494.0,749.0,580.0,682.0,373.0,18.0
11,615.0,665.0,673.0,595.0,554.0,
12,588.0,630.0,645.0,607.0,637.0,
